,Unnamed: 0,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Res,ContractPush,LoyaltyPush
0,0,7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,[0.6216738224029541],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
1,1,5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,[0.04847630858421326],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
2,2,3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,[0.2894403338432312],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
3,3,7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,[0.03386947512626648],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
4,4,9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,[0.7101269364356995],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
5,5,9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,[0.8388810157775879],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
6,6,1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,[0.3625563979148865],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
7,7,6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,[0.23319002985954285],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
8,8,7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,[0.5261996984481812],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
9,9,6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,[0.032949239015579224],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
10,10,9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,[0.15025675296783447],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
11,11,7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,[0.005627691745758057],"Low Risk, offer discount","Short Term customer ,Offer 100 Loyalty Points"
12,12,8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,[0.1563376784324646],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
13,13,0280-XJGEX,Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,[0.4324793815612793],"High Risk,suggest Annual Plan","Long Term customer ,Offer 800 Loyalty Points"
14,14,5129-JLPIS,Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,[0.501222550868988],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
15,15,3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,[0.014107435941696167],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
16,16,8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,[0.01482287049293518],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
17,17,9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,[0.0841505229473114],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
18,18,4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,[0.14931586384773254],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
19,19,4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,[0.49707725644111633],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
20,20,8779-QRDMV,Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,[0.7898504734039307],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
21,21,1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,[0.03933870792388916],"Medium Risk, suggest Biannual Plan","Short Term customer ,Offer 100 Loyalty Points"
22,22,1066-JKSGK,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,[0.24558600783348083],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
23,23,3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,[0.016260415315628052],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
24,24,6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,[0.08529850840568542],"High Risk,suggest Annual Plan","Long Term customer ,Offer 800 Loyalty Points"
25,25,6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,[0.1710386574268341],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
26,26,6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,[0.3931686282157898],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
27,27,8665-UTDHZ,Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,[0.5175889730453491],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
28,28,5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,[0.012599319219589233],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
29,29,8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,[0.41965916752815247],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
30,30,3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,[0.022349178791046143],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
31,31,4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,[0.8197910785675049],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
32,32,6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,[0.021700114011764526],"Medium Risk, suggest Biannual Plan","Medium Term customer ,Offer 500 Loyalty Points"
33,33,7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,[0.22864359617233276],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
34,34,3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,[0.3860328197479248],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
35,35,6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,[0.02192842960357666],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
36,36,6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,[0.6387863755226135],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
37,37,6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,[0.2651919722557068],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
38,38,5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,[0.4893072843551636],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
39,39,8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,[0.8618505001068115],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
40,40,8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,[0.14745420217514038],"Medium Risk, suggest Biannual Plan","Short Term customer ,Offer 100 Loyalty Points"
41,41,9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,[0.008170753717422485],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
42,42,9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,[0.01445654034614563],"Medium Risk, suggest Biannual Plan","Short Term customer ,Offer 100 Loyalty Points"
43,43,4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,[0.007872611284255981],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
44,44,4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,[0.28735554218292236],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
45,45,3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,[0.37909308075904846],"High Risk,suggest Annual Plan","Long Term customer ,Offer 800 Loyalty Points"
46,46,5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97,No,[0.36603492498397827],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
47,47,7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,[0.7616153955459595],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
48,48,7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,[0.03482431173324585],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
49,49,2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,[0.004047095775604248],"Low Risk, offer discount","Long Term customer ,Offer 800 Loyalty Points"
50,50,8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,[0.43040794134140015],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
51,51,9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,[0.6237990260124207],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
52,52,6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,[0.24199721217155457],"High Risk,suggest Annual Plan","Medium Term customer ,Offer 500 Loyalty Points"
53,53,7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,[0.7064776420593262],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
54,54,4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,[0.016098111867904663],"Medium Risk, suggest Biannual Plan","Long Term customer ,Offer 800 Loyalty Points"
55,55,1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,[0.8260113000869751],"High Risk,suggest Annual Plan","Short Term customer ,Offer 100 Loyalty Points"
